NOME;IDADE;MUNICIPIO
AGNALDO SILVA TORQUATO;48;CAMPO REDONDO
AGNALDO SUIYAMA OGATA;45;SANTO ANTONIO
AGNALDO WILSON DE SANTOS CRUZ;55;SAO TOME
AGNALDO YOITI ONIMARU;45;SANTO ANTONIO
AGNE KATHISUE UENO;32;SAO TOME
AGNER CORSALETTI;39;CERRO CORA
AGNES APARECIDA BASSETTO DOS SANTOS;33;CAMPO REDONDO
AGOSTINA FERREIRA DE SANTOS;76;NATAL
AGOSTINHO AFONSO ZAGO;59;SANTA DO MATOS
AGOSTINHO BERTASSO;71;SAO TOME
AGOSTINHO BROGANTE;78;NATAL
AGOSTINHO DE OLIVEIRA;70;NATAL
AGOSTINHO DE SOUSA MELO;68;MACA÷BA
AGOSTINHO DO CARMO BRAGA;70;NATAL
AGOSTINHO EDERLI SOBRINHO;66;MACA÷BA
AGOSTINHO FERNANDES MARTINEZ JUNIOR;52;NATAL
AGOSTINHO GOMES;80;NATAL
AGOSTINHO GRANDOLFO AGLIO;79;PARNAMIRIM
AGOSTINHO JOAO RAFAEL;69;NATAL
AGOSTINHO JOSUê CALIMAN;59;ANGICUS
AGOSTINHO MARCOS DE MELO;87;ANGICUS
AGOSTINHO QUALHO;65;PATU
AGOSTINO SBIZERRA;79;NATAL
AGRINALDO XAVIER DA SILVA;36;RIO DO FOGO
AGRIPINA CORREIA;51;NATAL
AGUEDA LUIZA BRUNO;50;CAMPO REDONDO
AGUIDA JOAQUINA GUIMARAES LEONEL;54;NATAL
AGUIMAR MARIA DA SILVA;83;NATAL
AGUINALDO BOTER FEBA;47;CERRO CORA
AGUINALDO BRAZ DE OLIVEIRA;57;SAO TOME
AGUINALDO CHINELLI;85;NATAL
AGUINALDO DE ALMEIDA;34;SAO TOME
AGUINALDO FARIAS LUZ;40;NATAL
AGUINALDO FIGUEIRO LOPES;46;RIO DO FOGO
AHDENE ERENO LIMA;78;NATAL
AHER YASHIMA BOMBONATI;28;NATAL
AIAKO MORIZAKI;75;SAO TOME
AICHA AHMAD MUHD H RIBEIRO;46;NATAL
AIDA CRESCENCIA MARTINS PELICAS;73;NATAL
AIDA GOMES CATHARINO PESSOTO;76;NATAL
AIDE DE MELO ALVES;49;NATAL
AIDE FIGUEIRA BALDO;83;SANTO ANTONIO
AIDE GARCIA DUELA;66;ASSU
AIDES FREITAS CAIRES BRANDAO;69;NATAL
AIKO TSUJINO;83;NATAL
AILDA DE JESUS DE CARVALHO;61;RIO DO FOGO
AIMARA LOPES BARRETO SORIANO;49;NATAL
AIRES APARECIDA CRUZ;43;RIO DO FOGO
AIRES PIOVESANA;45;CAMPO REDONDO
AIRISSON DE ANDRADE PEREIRA;45;NATAL
AIRTON BARBOZA DOS SANTOS;45;TANGARA
AIRTON CESAR MONTALI;49;NATAL
AIRTON CESAR PERES RODRIGUES;47;NATAL
AIRTON DIAS DE PAULA;49;RIO DO FOGO
AIRTON EDUARDO GUERRA;66;SAO TOME
AIRTON ESTEVAO;54;NATAL
AIRTON JOAO DOS SANTOS;46;NATAL
AIRTON MARCOS DA SILVA GALVAO;67;NATAL
AIRTON MARCOS DE ALMEIDA;53;SANTO ANTONIO
AIRTON MARCOS PALMYRO;73;NATAL
AIRTON MARCOS PAMYRO JR;41;ASSU
AIRTON MENDES FERREIRA;49;SAO TOME
AIRTON NATAL STOCCO;70;NATAL
AIRTON YOKOSAWA;49;SAO TOME
AISLAN FERNANDO PARIS MARTINS;31;PARNAMIRIM
AISLAN MARCEL SPIGUEL;25;CAMPO REDONDO
AISLAN SERRA DOMINGUES;35;NATAL
AISLAN SILVA RISSO;31;NATAL
AISSA MARIA DELFIM MACHADO;50;NATAL
AJAX GONCALVES JUNIOR;54;NATAL
AKEMI SUEHIRO MARTINS;27;SANTO ANTONIO
AKEMI TAMINATO;67;NATAL
AKEMITSU UMAKOSHI;72;NATAL
AKI HARADA;98;ANGICUS
AKIKO FUKUHARA;69;NATAL
AKIKO KURIMOTO DE OLIVEIRA;63;NATAL
AKIKO MAEMURA;78;SANTO ANTONIO
AKIKO YOSHIMOTO;72;SAO TOME
AKIMI SHINGAI;74;ANGICUS
AKIO HIEDA;60;NATAL
AKIO SAKAI;67;RIO DO FOGO
AKIRA MONOMI;88;SAO TOME
AKIRA OYAMA;68;CERRO CORA
AKIRA SATO;79;ASSU
AKITO KINOSHITA;81;NATAL
ALADIA TAPIAS GERALDO;75;CERRO CORA
ALADINO GIBIM;73;NATAL
ALAIDE BARBOSA DOS SANTOS;72;SAO TOME
ALAIDE BORTOLOTO MORATA;82;SAO TOME
ALAIDE CAMPOS DE OLIVEIRA;62;NATAL
ALAIDE DE SANTOS MOZANER;68;NATAL
ALAIDE FRIZON;69;ANGICUS
ALAIDE KUHN;53;NATAL
ALAIDE LEITE DA SILVA VIVIAN;56;CAMPO REDONDO
ALAIDE MESSIAS PIRES;61;SAO TOME
ALAIDE PEREIRA DA SILVA;68;SAO TOME
ALAIDE SILVA CORASSA;58;NATAL
ALAIDE SOARES REDIVO;71;MONTE ALEGRE
ALAIDE TORRES DE OLIVEIRA;70;SANTO ANTONIO
ALAILCE APARECIDA DE ALMEIDA ALTOMAR;64;CAMPO REDONDO
ALAINE NICODEMO BACCARIN;34;SANTO ANTONIO
ALAIR AMBROZA SILVA SANTOS;47;SAO TOME
ALAIR NAVARRO ALONSSO;36;CERRO CORA
ALAIR PAIM;58;SAO TOME
ALAIR SOLANGE GERALDO FRANCO;63;NATAL
ALAIR TEBAR SALATA;74;SAO TOME
ALAIRCE ORTEGA;68;NATAL
ALAIRDE SAVOLDI KIIL AGLIO;54;PARNAMIRIM
ALAIRDE SAVOLDI KILL;54;NATAL
ALAISSE APPARECIDA MARTINS DOMINGOS;81;NATAL
ALAU LUIZ DE SANTOS;86;NATAL
ALAYDE CUSTODIO ERBELLA;58;NATAL
ALAYDE ROSA DE CASTRO;79;SAO TOME
ALAYDE VIEIRA DE AGUIAR;82;PARNAMIRIM
ALBA CRISTINA PEREIRA DIAS;49;SAO TOME
ALBA DONADI;52;NATAL
ALBA LUCENA FERNANDES GANDIA;67;NATAL
ALBA LUCIA MELLO TAVARES;55;NATAL
ALBA MARIA LOURENCO;63;SAO TOME
ALBA MARIANA FERNANDES GONCALVES;33;NATAL
ALBA REGINA DE SANTOS ARAUJO;48;NATAL
ALBA REGINA KISS BATISTA;48;NATAL
ALBA REGINA NEVES DE SANTOS;51;NATAL
ALBA SUELENE EMERICK COLA;54;NATAL
ALBA VALERIA CAVICCHIOLI BATISTA;53;NATAL
ALBANIR ANGELI;77;NATAL
ALBANIR GREDENDIO;73;ANGICUS
ALBANIZA BERNARDO DA SILVA BANHETE;45;SAO TOME
ALBANO GODINHO;76;NATAL
ALBANO MINCA;69;MACA÷BA
ALBANO RODRIGUES JUNIOR;48;NATAL
ALBERI FRANCESCHINI;48;NATAL
ALBERTINA BASTOS PANTAROTTO;89;NATAL
ALBERTINA BATISTA MOTA;80;NATAL
ALBERTINA HOLANDA CAVALCANTE;58;NATAL
ALBERTINA LIMA DE SANTOS;41;NATAL
ALBERTINA PAIAO DOS SANTOS;75;NATAL
ALBERTINA TOLEDO ALVES;80;NATAL
ALBERTINO MAZIEIRO FILHO;65;NATAL
ALBERTINO SOARES;66;NATAL
ALBERTO ALBUQUERQUE GOMES;56;NATAL
ALBERTO ALESSANDRO PEREIRA;32;RIO DO FOGO
ALBERTO ALVES DE BEM;68;NATAL
ALBERTO ANTUNES RODRIGUES;46;RIO DO FOGO
ALBERTO BRUSCHI;61;NATAL
ALBERTO BUCHWITZ;71;PATU
ALBERTO CAPUCI NETO;44;NATAL
ALBERTO CARLOS FERREIRA;51;NATAL
ALBINO ALVES CORREA;70;SAO TOME
ALBINO ALVES FERREIRA;77;CERRO CORA
ALBINO BATISTA MONTEIRO JUNIOR;51;SAO TOME
ALBINO DE MIRANDA E SILVA;58;NATAL
ALBINO OLIVA;77;NATAL
ALBINO SOARES DOS SANTOS;57;SANTO ANTONIO
ALBINO TEIXEIRA DA ROCHA;64;NATAL
ALBO CAVALHEIRO;81;NATAL
ALCEBIADES SOARES;75;NATAL
ALCEBIADES ZUNTINI;77;NATAL
ALCEIDE MARRAFON;64;SAO TOME
ALCEU DE OLIVEIRA MACHADO JUNIOR;70;NATAL
ALCEU ESTACIO;61;NATAL
ALCEU RENATO STENCEL;60;SAO MIGUEL
ALCEU SANFELICE;84;NATAL
ALCIDES LEAL;67;ANGICUS
ALCIDES LEANDRO SILVA;68;NATAL
ALCIDES LIBERATI;85;NATAL
ALCIDES MARCOS D'ARCE ROPELLI;52;NATAL
ALCIDES MARQUES DA SILVA;66;MACA÷BA
ALCIDES MENOTTI;61;NATAL
ALCIDES MOREIRA;57;NATAL
ALCIDES PATUSSI;73;NATAL
ALCIDES PESSOA LOURENCO;67;NATAL
ALCIDES PINO SALMERON;58;PATU
ALCIDES PINTO;74;NATAL
ALCIDES PIRONI LONGO;85;SANTO ANTONIO
ALCIDES RAMOS DA SILVA FILHO;67;SANTO ANTONIO
ALCIDES RICARDO BERTOLI;48;CAMPO REDONDO
ALCIDES RODRIGUES CANELAS;68;NATAL
ALCIDES RODRIGUES NEVES;74;NATAL
ALCIDES ROPELLI;81;NATAL
ALCIDES SABINO;86;CAMPO REDONDO
ALCIDES SCANDOVIERI;90;RIO DO FOGO
ALCIDES SERIBELI;60;NATAL
ALCIDES VILA REAL;81;NATAL
ALCIDES VILCHES GALEGO;78;NATAL
ALCIDES VILLA;82;NATAL
ALCIDES ZACHARIAS DOMINICALLI;79;ANGICUS
ALCIDES ZORZI;78;ANGICUS
ALCIDINEI FRANCISCO DOS SANTOS;73;NATAL
ALCIDIO BABORA;81;NATAL
ALCIDIO CATUCCI;81;MACA÷BA
ALCIDIO LOPES DO NASCIMENTO;50;SANTO ANTONIO
ALCIDIS ALCOVA;83;CAMPO REDONDO
ALCIELE NASCIMENTO XAVIER DE SANTOS;26;NATAL
ALCINA MARIA DE FREITAS;31;ANGICUS
ALCINDINO SOARES FERREIRA;64;NATAL
ALCIONE CANDELORO RICCI;56;NATAL
ALCIONE MARCELINO DE OLIVEIRA SANTOS;47;SAO TOME
ALCIONE PAIVA DO NASCIMENTO;67;NATAL
ALCIONI FLORINDO PANIZZA;70;NATAL
ALCIONY DE FATIMA GENTIL FERNANDES DE ANDRADE;33;CAMPO REDONDO
ALCIR ALVES DA SILVA;62;CAMPO REDONDO
ALCIR APARECIDO UNGARI;51;RIO DO FOGO
ALCIR NALDI;48;MACA÷BA
ALCIRENE POLICARPO DE SANTOS;60;NATAL
ALCRECIA DA SILVA MARQUES FRANCISQUETI;37;CAMPO REDONDO
ALCY AUXILIADORA M MONTEIRO;53;SAO TOME
ALDEMIR MARQUES CALDEIRA;51;ANGICUS
ANTONIO ALBERTO DOS SANTOS;27;ANGICUS
ANTONIO ALVES PIRES;28;NATAL
ANTONIO APARECIDO CORREIA RAPOZO;39;NATAL
ANTONIO APARECIDO DA COSTA;37;SANTO ANTONIO
ANTONIO APARECIDO MARTINS;29;RIO DO FOGO
ANTONIO APARECIDO PRETELI;35;NATAL
ANTONIO ARAUJO DOS SANTOS;24;TANGARA
ANTONIO AUGUSTO MAGRO MORINAGA;40;CERRO CORA
ANTONIO AUGUSTO RODRIGUES;33;NATAL
ANTONIO BATISTA DE SOUSA;31;SAO TOME
ANTONIO BELIZARI DE SANTOS;28;CAMPO REDONDO
ANTONIO BERTASSO PEREIRA;44;SAO TOME
ANTONIO BIEMBENGUTE STRAZZER;45;SAO TOME
ANTONIO BRAGHIN ROSSETO;45;JOAO CAMARA
ANTONIO CARVALHO DE SANTOS;33;NATAL
ANTONIO CESAR DE SANTOS;44;ANGICUS
ANTONIO CHERUBIM;39;CAMPO REDONDO
ANTONIO CLEBER MIRANDA;42;NATAL
ANTONIO COIMBRA DE FREITAS;45;CAMPO REDONDO
ANTONIO DA SILVA OLIVEIRA;42;NATAL
ANTONIO DA SILVA SANTOS;34;CAMPO REDONDO
ANTONIO DA SILVA SOARES;46;NATAL
ANTONIO DE ANDRADE TEIXEIRA;41;MACA÷BA
ANTONIO DE CARVALHO;69;MACA÷BA
ANTONIO DE FREITAS PELAGIO;37;NATAL
ANTONIO DE SANTOS BONIFACIO;43;NATAL
ANTONIO DE SANTOS MARCONDES;44;NATAL
ANTONIO DONIZETE GABRIEL;35;NATAL
ANTONIO DOS SANTOS CARREIRA;39;NATAL
ANTONIO EIJI KURATA;39;MACA÷BA
ANTONIO FERREIRA DE ARAUJO;36;SAO TOME
ANTONIO FERRETI DE OLIVEIRA;44;NATAL
ANTONIO FINOTI;40;ANGICUS
ANTONIO GALLEGO MARTINS;30;MONTE ALEGRE
ANTONIO GENERALI DE ARAUJO;33;NATAL
ANTONIO GIMENEZ STUANI;41;NATAL
ANTONIO GOES RODRIGUES;44;NATAL
ANTONIO GRANJA DAGUILAR;38;CERRO CORA
ANTONIO HORACIO MARTILHO;30;NATAL
ANTONIO LOPES;23;ANGICUS
ANTONIO MACHADO SANTOS;32;NATAL
ANTONIO MARCELO DE OLIVEIRA;42;NATAL
ANTONIO MARCIO DOS SANTOS SILVA;31;CERRO CORA
ANTONIO MARCIO IKEDA;43;SAO TOME
ANTONIO MARCOS GERVASONI;42;NATAL
ANTONIO MARTINS DOS SANTOS;29;TANGARA
ANTONIO MARTINS PEREIRA;31;RIO DO FOGO
ANTONIO MOREIRA CELIN;37;PATU
ANTONIO NOGUEIRA DE SA;35;NATAL
ANTONIO PAULO DA SILVA;36;NATAL
ANTONIO PEREIRA MACHADO;43;ANGICUS
ANTONIO RAMPASSO;41;CAMPO REDONDO
ANTONIO RAMPAZZIO DOS SANTOS;7;NATAL
ANTONIO RODRIGO KIRIHARA;36;NATAL
ANTONIO RODRIGUES DE ALMEIDA;44;NATAL
ANTONIO RODRIGUES MEIRA;34;SANTO ANTONIO
ANTONIO SHOITI IAMASAQUI;32;NATAL
ANTONIO SOTOCORNO FRANCA;28;RIO DO FOGO
ANTONIO STAUT;32;NATAL
ANTONIO TAKEO TAMANAHA;44;SAO TOME
ANTONIO TERRENGUI;40;RIO DO FOGO
ANTONIO TOLEDO XAVIER;42;NATAL
ANTONIO TRINDADE DA SILVA;45;NATAL
ANTONIO VASCONCELOS DE DEUS;44;CERRO CORA
ANTONIO XAVIER DA SILVA;43;RIO DO FOGO
ARIOVALDO JUVENAL DE OLIVEIRA;34;SANTA CRUZ
CRISTINA CARBULONI;50;CAMPO REDONDO
EGBERTO MOTA SCHISBELGS;71;NATAL
JOSUê AMERICO DE MELO;62;SAO TOME
JOSUê APARECIDO DOMINGOS;64;NATAL
JOSUê CIPOLA;74;NATAL
JOSUê CIRO FERRARI;74;SANTO ANTONIO
JOSUê COZER;65;NATAL
JOSUê DA SILVA;67;NATAL
JOSUê DE SANTOS;65;CAMPO REDONDO
JOSUê DOS SANTOS;53;CAMPO REDONDO
JOSUê FERNANDO GAZOLA;70;PARNAMIRIM
JOSUê FLAUZINO COSTA;38;SAO TOME
JOSUê FRANQUEIRO;83;SAO TOME
JOSUê JOAO PASQUINELLI;84;CAMPO REDONDO
JOSUê MARCAL DEPIERI;68;NATAL
JOSUê MARCOS ARGENTAO;48;CERRO CORA
JOSUê MATHEUS PHELIPPE;64;NATAL
JOSUê MAZZARO;69;NATAL
JOSUê MENOSSI;60;NATAL
JOSUê MIRANDA MATIAS;71;PARNAMIRIM
JOSUê PAULA SILVA;49;NATAL
JOSUê RODRIGUES;75;NATAL
JOSUê VAZ DE LIMA;73;NATAL
JOSUêIO ALVES DA SILVA;72;SAO TOME
JOSUêIO DOS SANTOS;41;CAMPO REDONDO
MARIA  RODRIGUES SILVA;33;NATAL
MARIA A COSTA PEREIRA;38;NATAL
MARIA AGOSTINHO MUNHOZ;41;NATAL
MARIA AKEMI AZATO NAKAZATO;38;NATAL
MARIA ALARCON FIORATTI;39;NATAL
MARIA ALKMIN PEREIRA DOMINGUES;39;RIO DO FOGO
MARIA ALONSO CALDEIRA;44;NATAL
MARIA ALVES COELHO SANTOS;35;SANTO ANTONIO
MARIA ALVES DOS SANTOS GROTTI;35;NATAL
MARIA ALVES OLIVEIRA BORTOLI;35;NATAL
MARIA AMADO COSTA;43;NATAL
MARIA ANGELICA FARIA;42;NATAL
MARIA ANGELICA PIFFER;43;NATAL
MARIA AP P FAVARAO;41;ANGICUS
MARIA APARECIDA ALVES MARTINS DE FREITAS FREITAS;41;NATAL
MARIA APARECIDA AZEVEDO VILELA;42;NATAL
MARIA APARECIDA DA SILVA;36;CAMPO REDONDO
MARIA APARECIDA DA SILVA CAVALCANTI;37;NATAL
MARIA APARECIDA DE OLIVEIRA;43;PATU
MARIA APARECIDA DE OLIVEIRA SILVA;38;NATAL
MARIA APARECIDA FERRARI;43;SANTO ANTONIO
MARIA APARECIDA PEZZOTTI ZANGIROLAMI;43;NATAL
MARIA APARECIDA SANCHES LOPES;41;ANGICUS
MARIA ARANTES;42;NATAL
MARIA ARAUJO MAIOLINI;48;NATAL
MARIA ARAUJO MILANO RONDELLI;39;NATAL
MARIA ARRUDA CORDEIRO CANHOLI;37;NATAL
MARIA BARBOSA DE SANTOS;34;NATAL
MARIA BATISTA DE CARVALHO;45;NATAL
MARIA BEDIN LEAL;37;NATAL
MARIA BELARMINO DA SILVA;36;NATAL
MARIA BELARMINO SILVA ARAUJO;36;NATAL
MARIA BENITEZ ORTEGA TANIGUTI;32;NATAL
MARIA BERTASSO;29;SAO TOME
MARIA BEZERRA;39;NATAL
MARIA BEZUTTI MASCHIO;45;NATAL
MARIA BIBIANO DA SILVA;42;NATAL
MARIA BICEGLIA FRANCA DA SILVA;33;NATAL
MARIA BOIN DA SILVA;43;NATAL
MARIA BONALDI FEBA;43;CERRO CORA
MARIA BONFIM VIEIRA;42;SAO TOME
MARIA BOSQUETTI RIBEIRO OLIVEIRA;32;NATAL
MARIA BRAMBILLA GOMES;32;MACA÷BA
MARIA CACEFO;41;NATAL
MARIA CANDIDO FIGUEIREDO;40;NATAL
MARIA CARLA DE FRANCA;29;NATAL
MARIA CARLA DE OLIVEIRA;36;NATAL
MARIA CARLOS DE SANTOS;44;RIO DO FOGO
MARIA CASTILHO SILVA PINHEIRO;29;NATAL
MARIA CONSTANTINO DE OLIVEIRA SANTOS;30;NATAL
MARIA COUTO DOS SANTOS;35;NATAL
MARIA CRISTINA AUGUSTO;32;CAMPO REDONDO
MARIA CRISTINA BERTASSOLI PEREIRA;45;NATAL
MARIA CRISTINA CAPATO SAMPARRAS;39;CAMPO REDONDO
MARIA CRISTINA CORREIA TREVISANUTTO;41;NATAL
MARIA CRISTINA DE OLIVEIRA SANTOS;23;NATAL
MARIA CRISTINA DOS SANTOS;44;ANGICUS
MARIA CRISTINA GEREMIAS;44;CAMPO REDONDO
MARIA CRISTINA LEITE;44;SAO TOME
MARIA CRISTINA LEPRE JERONIMO;42;NATAL
MARIA CRISTINA MOURA E SILVA;38;CAMPO REDONDO
MARIA CRISTINA NEMER AUGUSTO;46;NATAL
MARIA CRISTINA PRADO ROMA;44;NATAL
MARIA CRISTINA QUEIROZ YOKOSAWA;41;NATAL
MARIA CRISTINA SILVA E OLIVEIRA;41;MACA÷BA
MARIA DA ROCHA SILVA;42;NATAL
MARIA DA SILVA CONCEICAO;29;SAO TOME
MARIA DA SILVA PINTO SANTOS;45;NATAL
MARIA DA SILVA RIBEIRO;41;CERRO CORA
MARIA DALE VEDOVE;37;NATAL
MARIA DE CAMPOS MACHADO;44;NATAL
MARIA DE CARVALHO LEITE;42;NATAL
MARIA DE CARVALHO RIZZO;46;NATAL
MARIA DE CASSIA DAGUANO;43;SANTA DO MATOS
MARIA DE CASTRO GOMES;44;NATAL
MARIA DE OLIVEIRA CANELAS;41;NATAL
MARIA DE OLIVEIRA SILVA;39;NATAL
MARIA DE PAULA JAQUES;29;TANGARA
MARIA DE SANTOS PERUCCI MALULY;46;NATAL
MARIA DECCO BISPO MAIOLINI SILVEIRA;37;NATAL
MARIA DENARI ELIAS;50;NATAL
MARIA DETREGIO MESSAGI ROS;40;NATAL
MARIA DO NASCIMENTO SILVA;30;SAO TOME
MARIA DOS SANTOS CAIRES;29;NATAL
MARIA DOS SANTOS RABELO RODRIGUES;35;NATAL
MARIA DUTRA DE SANTOS TROMBETTA;46;PARNAMIRIM
MARIA ESPINHOSA ZANONI;39;NATAL
MARIA ESTEVES;35;NATAL
MARIA FERNANDES CALLES;35;NATAL
MARIA FERNANDES DE OLIVEIRA;36;SAO TOME
MARIA FERNANDES DE SANTOS;44;SAO TOME
MARIA FERNANDES FARIA;37;NATAL
MARIA FERRANTI DOMINGUES;40;NATAL
MARIA FERREIRA DE PAULA;23;NATAL
MARIA FERREIRA DOS SANTOS;39;NATAL
MARIA FERREIRA LIMA;41;NATAL
MARIA FERRETE DOS SANTOS;43;NATAL
MARIA FRANCISCA DE OLIVEIRA;34;NATAL
MARIA GALICIANI PEDRO FERNANDES;46;NATAL
MARIA GARCIA DA SILVA;40;SAO TOME
MARIA GARCIA MENTE;38;IPANGUACU
MARIA GASQUE M EDERLI;42;MACA÷BA
MARIA GIROTO REBELATO;40;NATAL
MARIA GOMES RIBEIRO ABRAHAO;38;NATAL
MARIA GONCALVES DE OLIVEIRA;42;NATAL
MARIA GRIGOLLI FERNANDES DE ALCANTARA;35;ANGICUS
MARIA INAGUE;44;SAO TOME
MARIA JAQUELINE COELHO BELTRAME;37;NATAL
MARIA JUNQUEIRA;39;NATAL
MARIA LAIS PERUCCI;41;SANTO ANTONIO
MARIA LAMBERTI MESA;46;NATAL
MARIA LARIO RAMALHO RODRIGUES;50;NATAL
MARIA LEBEDENKO;40;NATAL
MARIA LEITE FERREIRA;36;NATAL
MARIA LIMA MAJOR SOBRAL GARCAO;41;RIO DO FOGO
MARIA LIMA MORO;33;NATAL
MARIA LUCIA RODRIGUES DE CASTRO;42;NATAL
MARIA MANTOVANI NEGREIROS;45;NATAL
MARIA MARA SANTANA FONSECA;28;NATAL
MARIA MARIA DE LIMA;38;NATAL
MARIA MARIA DE LIMA SANTANA;30;TENENTE ANANIAS
MARIA MARIA FERNANDEZ MARTIN;41;MACA÷BA
MARIA MARIA PELEGRINI;44;NATAL
MARIA MARIA SERIBELI;31;NATAL
MARIA MARIANO TEIXEIRA;23;NATAL
MARIA MARQUES ARVELINO DE SANTOS;40;IPANGUACU
MARIA MARQUES DA SILVA;38;SANTO ANTONIO
MARIA MARTINS DE LIMA;34;NATAL
MARIA MASSAKO FUJIKI OIKAWA;40;NATAL
MARIA MASSENA DA SILVA;34;CERRO CORA
MARIA MAYUMI ABE JOVIAL;37;NATAL
MARIA MAYUMI NOSAKI;33;NATAL
MARIA MAZETTO;41;NATAL
MARIA MEDINA ARMELIN;47;NATAL
MARIA MENDES DE CARVALHO;34;NATAL
MARIA MICHELE CAMPOS SILVA;32;ANGICUS
MARIA MIEKO ARACHIRO;29;NATAL
MARIA MIGUEL;47;SAO TOME
MARIA MONTEIRO DE OLIVEIRA;40;NATAL
MARIA MOREIRA BERNARDINELLI;43;NATAL
MARIA MOREIRA DA CUNHA;44;NATAL
MARIA NABAS RODRIGUES;45;NATAL
MARIA NAPOLITANO DE MEZAS CALDEIRA;36;NATAL
MARIA NEIRO VIEIRA;46;NATAL
MARIA OLIVA GONINI ESTRELA;48;NATAL
MARIA OLIVEIRA SOUSA;37;SAO TOME
MARIA OZIO FRANCO;36;CERRO CORA
MARIA PADOVAN;35;CAMPO REDONDO
MARIA PAULA DA SILVA;42;NATAL
MARIA PAULA NAVARRO;30;MACA÷BA
MARIA PAULA SPOLADOR;40;NATAL
MARIA PAULA TOSTA VIEIRA;30;SAO TOME
MARIA PAULINO DE OLIVEIRA;37;SAO TOME
MARIA PAVANELLI LEOPOLDINO;41;NATAL
MARIA PEDRASSA PRATES;45;NATAL
MARIA PENHA CARRIJO;33;PATU
MARIA PEREIRA;36;CAMPO REDONDO
MARIA PEREIRA DA CRUZ;41;RIO DO FOGO
MARIA PEREIRA DE ALCANTARA;30;NATAL
MARIA PEREIRA MAGALHAES;38;NATAL
MARIA PEREIRA SAVIO DE DEUS;39;NATAL
MARIA PIAI SILVA;46;NATAL
MARIA PRATES DE OLIVEIRA;45;SANTA CRUZ
MARIA RAMALHO DE SANTOS DIAS;40;SAO TOME
MARIA RAMPASIO FERREIRA;30;NATAL
MARIA REGINA FOGACA DE SANTOS;39;NATAL
MARIA REGINA PINHEIRO NANTES;41;SAO TOME
MARIA REGINA PINTO TOMAZ;38;ANGICUS
MARIA REGINA SALMAZO;37;SAO TOME
MARIA RIBEIRO KOLOMAR;41;CERRO CORA
MARIA RIBEIRO PAVARINA FRANCO;32;NATAL
MARIA RIBEIRO SIEPLIN CORAZZA;41;NATAL
MARIA RODRIGUES DA ROCHA;38;NATAL
MARIA RODRIGUES DE SANTOS;39;SANTO ANTONIO
MARIA ROGERIO RICARDI;39;NATAL
MARIA RUBIA CHAVES;45;CERRO CORA
MARIA RUMIKO HIRATA;32;MACA÷BA
MARIA SALES PREMOLI BRUGNOLA;36;NATAL
MARIA SANTOS DAS NEVES;35;NATAL
MARIA SANTOS DE OLIVEIRA;33;NATAL
MARIA SANTOS PEREIRA;42;NATAL
MARIA SAO ROMAO DA SILVA;39;MACA÷BA
MARIA SARA NOGUEIRA DE ALMEIDA;40;NATAL
MARIA SAYURI FUNADA;43;NATAL
MARIA SAYURI TATSUKAWA;42;NATAL
MARIA SESTI;42;SAO TOME
MARIA SETSU TAKARA TOMITA;38;NATAL
MARIA SICHIERI PEREIRA ABEGAO;48;NATAL
MARIA SILVA SPERANDIO;25;NATAL
MARIA SOARES RAIMUNDO;37;ASSU
MARIA SONVESSO FURLAN LOUZADA;43;MACA÷BA
MARIA SOUSA DE OLIVEIRA;40;SANTO ANTONIO
MARIA TAVARES MONTEIRO DE PADUA;40;NATAL
MARIA TEIXEIRA ALVES;41;NATAL
MARIA TOSHIE YOSHIDA;41;ANGICUS
MARIA TRAVA DOS SANTOS;34;CERRO CORA
MARIA TREVISAN GIGLIO;49;CAMPO REDONDO
MARIA TRINTIN;43;NATAL
MARIA VALERIA PERRUD DA SILVA;40;SANTO ANTONIO
MARIA VIANA;43;NATAL
MARIA VILHONI;41;CAMPO REDONDO
MARIA VIVIANE CARDOSO BUCHALA;40;NATAL
MARIA WRUCK BRAGA;46;NATAL
MARIA YAMAMOTO ENDO;29;CAMPO REDONDO
MARIA ZACCARELLI GREGORIO;46;CERRO CORA
MARIA ZINEZZI ALVES DE ALBUQUERQUE;33;SAO TOME
MARIANO ALEX OLIVEIRA;33;MACA÷BA
MARIANO BRITO DA CUNHA;29;NATAL
MARIANO BUSCATI LOVATO;7;CAMPO REDONDO
MARIANO CARLOS FONTOLAN;28;PATU
MARIANO CRISTHIEM LIMA SOARES;33;SAO TOME
MARIANO DA SILVA MORELLI;22;NATAL
MARIANO DIAS DA SILVA;17;CAMPO REDONDO
MARIANO DIEGO DE LIMA CORREIA;29;NATAL
MARIANO DIEGO DE MENDONCA;26;NATAL
MARIANO DOS SANTOS SPERANDIO;23;ANGICUS
MARIANO DOUGLAS GONCALVES;23;RIO DO FOGO
MARIANO FELIPE TAKAHASHI AVELINO;2;NATAL
MARIANO FIGUEIREDO DA SILVA;37;NATAL
MARIANO GARCIA DE OLIVEIRA;25;ANGICUS
MARIANO KAIQUE DA SILVA PIERINA;21;CERRO CORA
MARIANO KAIQUE RAMALHO DOS SANTOS;21;NATAL
MARIANO LACERDA KALIL;36;NATAL
MARIANO LEITE FERNANDES;30;SANTO ANTONIO
MARIANO MURILO MORATO GRANJA;34;NATAL
MARIANO PATRICK SOBRINHO TEIXEIRA;28;TENENTE ANANIAS
MARIANO ROBERT ALVES ZANI;36;NATAL
